,ItinID,FarePerMile,Coupons,Origin,RoundTrip,OnLine,RPCarrier,Passengers,ItinFare,BulkFare,Distance,DistanceGroup,MilesFlown,OriginState
65824,201613497683,0.1262,2,ORD,1.0,1.0,UA,10.0,382.0,0.0,3028.0,7,3028.0,IL
1575061,201613488875,0.1303,2,ORD,1.0,1.0,UA,3.0,308.0,0.0,2364.0,5,2364.0,IL
2727808,201613479490,0.177,2,ORD,1.0,1.0,UA,2.0,307.0,0.0,1734.0,4,1734.0,IL
3120006,20161692288,0.0887,3,ORD,1.0,1.0,AA,1.0,276.0,0.0,3110.0,7,3110.0,IL
1141265,201614114217,0.0908,1,MDW,0.0,1.0,WN,1.0,159.0,0.0,1751.0,4,1751.0,IL
1540459,20161710294,0.205,2,ORD,1.0,1.0,AA,1.0,469.0,0.0,2288.0,5,2288.0,IL
1898248,20161715096,0.1429,4,ORD,0.0,0.0,AA,1.0,450.0,0.0,3148.0,7,3148.0,IL
2072434,201611933284,0.2215,4,ORD,1.0,1.0,DL,1.0,497.0,0.0,2244.0,5,2244.0,IL
1323013,201612535854,0.4358,1,ORD,0.0,1.0,MQ,2.0,129.0,0.0,296.0,1,296.0,IL
40135,201613485933,0.2032,2,ORD,1.0,0.0,UA,1.0,326.0,0.0,1604.0,4,1604.0,IL
978066,201614113583,0.4081,1,MDW,0.0,1.0,WN,1.0,282.0,0.0,691.0,2,691.0,IL
1556256,201614108841,0.1759,2,MDW,1.0,1.0,WN,1.0,535.0,0.0,3042.0,7,3042.0,IL
2451615,201612293415,0.2191,4,ORD,1.0,0.0,EV,1.0,985.0,0.0,4495.0,9,4495.0,IL
3015535,201613496056,0.0743,3,ORD,1.0,0.0,UA,1.0,216.0,0.0,2906.0,6,2906.0,IL
589778,201612288349,0.5565,2,ORD,1.0,1.0,EV,1.0,650.0,0.0,1168.0,3,1168.0,IL
83643,201612618796,0.1379,2,ORD,1.0,1.0,NK,1.0,309.0,0.0,2240.0,5,2240.0,IL
2657430,20161723575,0.0894,2,ORD,1.0,1.0,AA,2.0,181.0,0.0,2024.0,5,2024.0,IL
946960,201611067630,0.3864,1,ORD,0.0,1.0,AS,1.0,665.0,0.0,1721.0,4,1721.0,IL
167005,201613495286,0.1157,2,ORD,1.0,1.0,UA,4.0,214.0,0.0,1850.0,4,1850.0,IL
268076,201613497730,0.1371,2,ORD,1.0,0.0,UA,1.0,415.0,0.0,3028.0,7,3028.0,IL
997541,201613479117,0.4048,1,ORD,0.0,1.0,UA,1.0,351.0,0.0,867.0,2,867.0,IL
769555,201612424937,0.4895,2,ORD,1.0,0.0,G7,1.0,327.0,0.0,668.0,2,668.0,IL
358846,201614112814,0.4806,2,MDW,0.0,1.0,WN,1.0,383.0,0.0,797.0,2,797.0,IL
276100,20161718874,0.2008,2,ORD,1.0,0.0,AA,1.0,418.0,0.0,2082.0,5,2082.0,IL
861716,20161683939,0.2756,2,ORD,0.0,0.0,AA,1.0,272.0,0.0,987.0,2,987.0,IL
2736233,201614563108,0.29,2,ORD,1.0,0.0,YX,1.0,355.0,0.0,1224.0,3,1224.0,IL
1899954,201611936183,0.3979,4,ORD,1.0,0.0,DL,1.0,573.0,0.0,1440.0,3,1440.0,IL
1307815,201614117353,0.1244,1,MDW,0.0,1.0,WN,2.0,215.0,0.0,1728.0,4,1728.0,IL
1016142,201613485495,0.2406,1,ORD,0.0,1.0,UA,11.0,193.0,0.0,802.0,2,802.0,IL
284011,201612423351,1.2405,2,ORD,1.0,0.0,G7,1.0,655.0,0.0,528.0,2,528.0,IL
1011620,20161709006,1.3204,1,ORD,0.0,1.0,AA,1.0,441.0,0.0,334.0,1,334.0,IL
217014,201614118736,0.1329,2,MDW,1.0,1.0,WN,2.0,493.0,0.0,3710.0,8,3710.0,IL
1900423,201612270619,0.1484,4,MDW,1.0,0.0,EV,1.0,189.0,0.0,1274.0,3,1274.0,IL
857281,20161681313,0.283,2,ORD,1.0,1.0,AA,2.0,553.0,0.0,1954.0,4,1954.0,IL
323410,201614121113,0.2702,2,MDW,1.0,1.0,WN,4.0,315.0,0.0,1166.0,3,1166.0,IL
584833,201614564174,0.1249,2,ORD,1.0,1.0,YX,1.0,231.0,0.0,1850.0,4,1850.0,IL
1620157,201611931132,0.4741,2,ORD,0.0,1.0,DL,1.0,550.0,0.0,1160.0,3,1160.0,IL
568226,20161715470,0.1693,2,ORD,1.0,1.0,AA,3.0,559.0,0.0,3302.0,7,3302.0,IL
2338650,201614106928,0.3122,4,MDW,1.0,1.0,WN,1.0,758.0,0.0,2428.0,5,2428.0,IL
1101454,201613515563,0.1235,1,ORD,0.0,1.0,UA,1.0,228.0,0.0,1846.0,4,1846.0,IL
1092317,201612535100,0.3682,1,ORD,0.0,1.0,MQ,1.0,229.0,0.0,622.0,2,622.0,IL
1042266,201612423426,0.2955,1,ORD,0.0,1.0,G7,1.0,237.0,0.0,802.0,2,802.0,IL
1736609,20161695504,0.2646,2,ORD,1.0,0.0,AA,2.0,534.0,0.0,2018.0,5,2018.0,IL
1561231,201613510551,0.1354,2,ORD,1.0,1.0,UA,2.0,390.0,0.0,2880.0,6,2880.0,IL
2197625,20161686160,0.2125,4,ORD,1.0,1.0,AA,1.0,470.0,0.0,2212.0,5,2212.0,IL
1395453,201613511520,0.1602,2,ORD,1.0,1.0,UA,1.0,529.0,0.0,3302.0,7,3302.0,IL
1053509,201614119788,1.0438,1,MDW,0.0,1.0,WN,1.0,262.0,0.0,251.0,1,251.0,IL
699855,201612540811,0.2748,2,ORD,1.0,1.0,MQ,1.0,227.0,0.0,826.0,2,826.0,IL
1681563,201612869222,1.2907,2,ORD,1.0,0.0,OO,1.0,666.0,0.0,516.0,2,516.0,IL
2371886,201612868870,0.2303,4,ORD,1.0,0.0,OO,1.0,866.0,0.0,3760.0,8,3760.0,IL
1644987,201613513693,0.1754,2,ORD,1.0,1.0,UA,1.0,393.0,0.0,2240.0,5,2240.0,IL
1501586,201614114744,0.3151,2,MDW,1.0,1.0,WN,3.0,421.0,0.0,1336.0,3,1336.0,IL
87886,20161706592,0.1032,2,ORD,1.0,1.0,AA,1.0,247.0,0.0,2394.0,5,2394.0,IL
408168,201612539257,0.8462,2,ORD,1.0,1.0,MQ,1.0,682.0,0.0,806.0,2,806.0,IL
2757780,201613046661,0.5261,2,ORD,1.0,1.0,S5,1.0,644.0,0.0,1224.0,3,1224.0,IL
1900426,201612271104,0.1498,4,MDW,1.0,0.0,EV,1.0,189.0,0.0,1262.0,3,1262.0,IL
200363,201612535216,0.2347,2,ORD,1.0,0.0,MQ,1.0,292.0,0.0,1244.0,3,1244.0,IL
795291,20161703706,0.2612,2,ORD,1.0,1.0,AA,1.0,525.0,0.0,2010.0,5,2010.0,IL
114680,201613484845,0.1483,2,ORD,0.0,1.0,UA,1.0,221.0,0.0,1490.0,3,1490.0,IL
1561009,201612422227,0.1744,2,ORD,1.0,1.0,G7,2.0,390.0,0.0,2236.0,5,2236.0,IL
2667563,201613482925,0.3333,2,ORD,1.0,0.0,UA,1.0,408.0,0.0,1224.0,3,1224.0,IL
3028395,201614115690,0.0999,3,MDW,1.0,1.0,WN,1.0,390.0,0.0,3903.0,8,3903.0,IL
501441,201612538765,0.2737,2,ORD,1.0,0.0,MQ,1.0,473.0,0.0,1728.0,4,1728.0,IL
1510853,20161710614,0.1035,2,ORD,1.0,0.0,AA,1.0,360.0,0.0,3478.0,7,3478.0,IL
345558,201612539184,0.4454,2,ORD,1.0,1.0,MQ,1.0,359.0,0.0,806.0,2,806.0,IL
868590,201613046916,1.1979,2,ORD,1.0,0.0,S5,1.0,563.0,0.0,470.0,1,470.0,IL
3179264,201614116879,0.2258,3,MDW,1.0,0.0,WN,1.0,473.0,0.0,2228.0,5,2095.0,IL
1589354,201614113184,0.2758,2,MDW,1.0,1.0,WN,1.0,455.0,0.0,1650.0,4,1650.0,IL
142636,201612617246,0.2019,2,ORD,1.0,1.0,NK,1.0,296.0,0.0,1466.0,3,1466.0,IL
2821856,201614107325,0.3821,2,MDW,1.0,1.0,WN,1.0,716.0,0.0,1874.0,4,1874.0,IL
819602,201613504599,0.4522,2,ORD,1.0,1.0,UA,1.0,909.0,0.0,2010.0,5,2010.0,IL
3099792,20161715289,0.1052,3,ORD,1.0,0.0,AA,1.0,357.0,0.0,3505.0,8,3395.0,IL
296976,201614112767,0.6433,2,MDW,1.0,1.0,WN,1.0,449.0,0.0,698.0,2,698.0,IL
1643247,201611931490,0.2529,2,ORD,0.0,1.0,DL,1.0,485.0,0.0,1918.0,4,1918.0,IL
1437974,201614109662,0.1057,2,MDW,1.0,1.0,WN,3.0,370.0,0.0,3500.0,8,3500.0,IL
344053,20161703345,0.1254,2,ORD,1.0,1.0,AA,1.0,252.0,0.0,2010.0,5,2010.0,IL
1840683,201611933353,0.1008,4,ORD,1.0,1.0,DL,1.0,232.0,0.0,2302.0,5,2302.0,IL
69186,20161706597,0.104,2,ORD,1.0,1.0,AA,2.0,249.0,0.0,2394.0,5,2394.0,IL
980621,201613046180,2.2121,1,ORD,0.0,1.0,S5,1.0,584.0,0.0,264.0,1,264.0,IL
711297,201613504072,0.1393,2,ORD,1.0,1.0,UA,1.0,280.0,0.0,2010.0,5,2010.0,IL
984686,201613496828,1.7401,1,ORD,0.0,1.0,UA,1.0,308.0,0.0,177.0,1,177.0,IL
2991987,201612423672,0.4539,2,ORD,1.0,0.0,G7,1.0,728.0,0.0,1604.0,4,1604.0,IL
